2018-1-20 15:48:58:594			
2018-1-20 15:48:58:594			开始运行
2018-1-20 15:49:0:707			成功建立数据库连接
2018-1-20 15:49:0:707			开始加载数据库blockdetail信息
2018-1-20 15:49:1:899			完成加载数据库blockdetail信息
2018-1-20 15:49:1:899			开始根据featureid加载对象并提取对象状态
2018-1-20 15:49:6:915			本次需从LayerId: 1 中加载, 542 条要素
2018-1-20 15:49:6:915			本次共从LayerId: 1 中加载, 520 条存在要素
2018-1-20 15:49:6:915			本次共从LayerId: 1 中加载, 0 条删除要素
2018-1-20 15:49:7:829			本次需从LayerId: 24 中加载, 932 条要素
2018-1-20 15:49:7:829			本次共从LayerId: 24 中加载, 906 条存在要素
2018-1-20 15:49:7:830			本次共从LayerId: 24 中加载, 0 条删除要素
2018-1-20 15:49:7:833			blockid: 1786 存在逻辑错误1,200000000035667
2018-1-20 15:49:7:833			blockid: 1787 开始运行
2018-1-20 15:49:7:833			blockid: 1787 存在逻辑错误1,200000000035668
2018-1-20 15:49:7:833			blockid: 1788 开始运行
2018-1-20 15:49:7:833			blockid: 1788 存在逻辑错误1,200000000035669
2018-1-20 15:49:7:833			blockid: 1788 存在逻辑错误1,200000000035680
2018-1-20 15:49:7:833			blockid: 1789 开始运行
2018-1-20 15:49:7:833			blockid: 1789 存在逻辑错误1,200000000035670
2018-1-20 15:49:7:833			blockid: 1790 开始运行
2018-1-20 15:49:7:833			blockid: 1790 存在逻辑错误1,200000000035671
2018-1-20 15:49:7:833			blockid: 1790 存在逻辑错误1,200000000035681
2018-1-20 15:49:7:833			blockid: 1790 存在逻辑错误1,200000000035701
2018-1-20 15:49:7:833			blockid: 1791 开始运行
2018-1-20 15:49:7:833			blockid: 1791 存在逻辑错误1,200000000035672
2018-1-20 15:49:7:833			blockid: 1792 开始运行
2018-1-20 15:49:7:833			blockid: 1792 存在逻辑错误1,200000000035673
2018-1-20 15:49:7:833			blockid: 1793 开始运行
2018-1-20 15:49:7:833			blockid: 1793 存在逻辑错误1,200000000035674
2018-1-20 15:49:7:833			blockid: 1794 开始运行
2018-1-20 15:49:7:833			blockid: 1794 存在逻辑错误1,200000000035675
2018-1-20 15:49:7:833			blockid: 1795 开始运行
2018-1-20 15:49:7:833			blockid: 1795 存在逻辑错误1,200000000035676
2018-1-20 15:49:7:833			blockid: 1796 开始运行
2018-1-20 15:49:7:833			blockid: 1796 存在逻辑错误1,200000000035677
2018-1-20 15:49:7:833			blockid: 1797 开始运行
2018-1-20 15:49:7:833			blockid: 1797 存在逻辑错误1,200000000035678
2018-1-20 15:49:7:833			blockid: 1797 存在逻辑错误1,200000000035679
2018-1-20 15:49:7:833			blockid: 1798 开始运行
2018-1-20 15:49:7:833			blockid: 1798 存在逻辑错误1,200000000035683
2018-1-20 15:49:7:833			blockid: 1798 存在逻辑错误1,200000000035690
2018-1-20 15:49:7:833			blockid: 1799 开始运行
2018-1-20 15:49:7:833			blockid: 1799 存在逻辑错误1,200000000035684
2018-1-20 15:49:7:833			blockid: 1799 存在逻辑错误1,200000000035686
2018-1-20 15:49:7:833			blockid: 1800 开始运行
2018-1-20 15:49:7:834			blockid: 1800 存在逻辑错误1,200000000035685
2018-1-20 15:49:7:834			blockid: 1800 存在逻辑错误1,200000000035692
2018-1-20 15:49:7:834			blockid: 1800 存在逻辑错误1,200000000035696
2018-1-20 15:49:7:834			blockid: 1801 开始运行
2018-1-20 15:49:7:834			blockid: 1801 存在逻辑错误1,200000000035687
2018-1-20 15:49:7:834			blockid: 1802 开始运行
2018-1-20 15:49:7:834			blockid: 1802 存在逻辑错误1,200000000035688
2018-1-20 15:49:7:834			blockid: 1803 开始运行
2018-1-20 15:49:7:834			blockid: 1803 存在逻辑错误1,200000000035689
2018-1-20 15:49:7:834			blockid: 1804 开始运行
2018-1-20 15:49:7:834			blockid: 1804 存在逻辑错误1,200000000035691
2018-1-20 15:49:7:834			blockid: 1805 开始运行
2018-1-20 15:49:7:834			blockid: 1805 存在逻辑错误1,200000000035693
2018-1-20 15:49:7:834			blockid: 1806 开始运行
2018-1-20 15:49:7:834			blockid: 1806 存在逻辑错误1,200000000035695
2018-1-20 15:49:7:834			blockid: 1806 存在逻辑错误1,200000000035703
2018-1-20 15:49:7:834			blockid: 1806 存在逻辑错误1,200000000035704
2018-1-20 15:49:7:834			blockid: 1807 开始运行
2018-1-20 15:49:7:834			blockid: 1807 存在逻辑错误1,200000000035697
2018-1-20 15:49:7:834			blockid: 1808 开始运行
2018-1-20 15:49:7:834			blockid: 1808 存在逻辑错误1,200000000035698
2018-1-20 15:49:7:834			blockid: 1808 存在逻辑错误1,200000000035702
2018-1-20 15:49:7:834			blockid: 1809 开始运行
2018-1-20 15:49:7:834			blockid: 1809 存在逻辑错误1,200000000035700
2018-1-20 15:49:7:834			blockid: 1810 开始运行
2018-1-20 15:49:7:834			blockid: 1810 存在逻辑错误1,200000000035705
2018-1-20 15:49:7:834			blockid: 1811 开始运行
2018-1-20 15:49:7:834			blockid: 1811 存在逻辑错误1,200000000035706
2018-1-20 15:49:7:834			blockid: 1812 开始运行
2018-1-20 15:49:7:834			blockid: 1812 存在逻辑错误1,200000000035707
2018-1-20 15:49:7:834			blockid: 1813 开始运行
2018-1-20 15:49:7:834			blockid: 1813 存在逻辑错误1,200000000035708
2018-1-20 15:49:7:834			blockid: 1814 开始运行
2018-1-20 15:49:7:834			blockid: 1814 存在逻辑错误1,200000000035709
2018-1-20 15:49:7:834			blockid: 1815 开始运行
2018-1-20 15:49:7:834			blockid: 1815 存在逻辑错误1,200000000035710
2018-1-20 15:49:7:834			blockid: 1816 开始运行
2018-1-20 15:49:7:834			blockid: 1816 存在逻辑错误1,200000000035711
2018-1-20 15:49:7:834			blockid: 1817 开始运行
2018-1-20 15:49:7:834			blockid: 1817 存在逻辑错误1,200000000035712
2018-1-20 15:49:7:834			blockid: 1818 开始运行
2018-1-20 15:49:7:834			blockid: 1818 存在逻辑错误1,200000000035713
2018-1-20 15:49:7:834			blockid: 1819 开始运行
2018-1-20 15:49:7:834			blockid: 1819 存在逻辑错误1,200000000035714
2018-1-20 15:49:7:834			blockid: 1820 开始运行
2018-1-20 15:49:7:834			blockid: 1820 存在逻辑错误1,200000000035715
